depth_m,replicate,chla_RFU,cyano_RFU,chla_CONC,cyano_CONC
0.5,1,993.97,2169.98,5.490438000000001,4122.882
0.5,2,1003.9,798.07,5.54406,1516.2530000000002
0.5,3,920.83,825.4,5.0954820000000005,1568.18
2,1,810.53,2234.82,4.499862,4246.078
2,2,691.1,706.32,3.85494,1341.928
2,3,754.12,874.08,4.195248,1660.672
4,1,777.68,678.26,4.322472,1288.614
4,2,759,1479.02,4.2216000000000005,2810.058
4,3,779.17,2864.7,4.3305180000000005,5442.8499999999995
5.75,1,767.35,3015.38,4.2666900000000005,5729.142
5.75,2,744.74,2307.35,4.144596000000001,4383.884999999999
5.75,3,765.63,1662.03,4.257402000000001,3157.777
4,4,763.92,799.63,4.248168000000001,1519.217
0.5,4,937.15,772.82,5.183610000000001,1468.278
5.75,4,791.45,954.76,4.3968300000000005,1813.964
2,4,640.89,1481.95,3.583806,2815.625
